,0
0,alaska
1,arkansas
2,california
3,colorado
4,connecticut
5,delaware
6,florida
7,georgia
8,hawaii
9,idaho
10,illinois
11,indiana
12,iowa
13,kansas
14,kentucky
15,louisiana
16,maine
17,maryland
18,massachusetts
19,michigan
20,minnesota
21,mississippi
22,missouri
23,montana
24,nebraska
25,nevada
26,new hampshire
27,new jersey
28,new mexico
29,north carolina
30,north dakota
31,oklahoma
32,oregon
33,pennsylvania
34,rhode island
35,south carolina
36,south dakota
37,tennessee
38,texas
39,utah
40,vermont
41,virginia
42,washington
43,west virginia
44,wyoming
